TOP.5f98df0a.0003ad3e	START
TOP.5fa86535.0007a13c	user_options->session	hashcat
TOP.5fa86535.0007a13c	user_options->limit	0
TOP.5fa86535.0007a13c	user_options->skip	0
TOP.5fa86535.0007a13c	user_options->attack_mode	0
TOP.5fa86535.0007a13c	user_options->benchmark	0
TOP.5fa86535.0007a13c	user_options->benchmark_all	0
TOP.5fa86535.0007a13c	user_options->bitmap_max	18
TOP.5fa86535.0007a13c	user_options->bitmap_min	16
TOP.5fa86535.0007a13c	user_options->debug_mode	0
TOP.5fa86535.0007a13c	user_options->example_hashes	0
TOP.5fa86535.0007a13c	user_options->force	1
TOP.5fa86535.0007a13c	user_options->hwmon_disable	0
TOP.5fa86535.0007a13c	user_options->hwmon_temp_abort	90
TOP.5fa86535.0007a13c	user_options->hash_mode	0
TOP.5fa86535.0007a13c	user_options->hex_charset	0
TOP.5fa86535.0007a13c	user_options->hex_salt	0
TOP.5fa86535.0007a13c	user_options->hex_wordlist	0
TOP.5fa86535.0007a13c	user_options->hook_threads	8
TOP.5fa86535.0007a13c	user_options->increment	0
TOP.5fa86535.0007a13c	user_options->increment_max	256
TOP.5fa86535.0007a13c	user_options->increment_min	1
TOP.5fa86535.0007a13c	user_options->keep_guessing	0
TOP.5fa86535.0007a13c	user_options->kernel_accel	0
TOP.5fa86535.0007a13c	user_options->kernel_loops	0
TOP.5fa86535.0007a13c	user_options->kernel_threads	0
TOP.5fa86535.0007a13c	user_options->keyspace	0
TOP.5fa86535.0007a13c	user_options->left	0
TOP.5fa86535.0007a13c	user_options->logfile_disable	0
TOP.5fa86535.0007a13c	user_options->loopback	0
TOP.5fa86535.0007a13c	user_options->machine_readable	0
TOP.5fa86535.0007a13c	user_options->markov_classic	0
TOP.5fa86535.0007a13c	user_options->markov_disable	0
TOP.5fa86535.0007a13c	user_options->markov_threshold	256
TOP.5fa86535.0007a13c	user_options->backend_info	0
TOP.5fa86535.0007a13c	user_options->backend_vector_width	0
TOP.5fa86535.0007a13c	user_options->optimized_kernel_enable	0
TOP.5fa86535.0007a13c	user_options->outfile_autohex	1
TOP.5fa86535.0007a13c	user_options->outfile_check_timer	5
TOP.5fa86535.0007a13c	user_options->outfile_format	3
TOP.5fa86535.0007a13c	user_options->wordlist_autohex_disable	0
TOP.5fa86535.0007a13c	user_options->potfile_disable	0
TOP.5fa86535.0007a13c	user_options->progress_only	0
TOP.5fa86535.0007a13c	user_options->quiet	0
TOP.5fa86535.0007a13c	user_options->remove	0
TOP.5fa86535.0007a13c	user_options->remove_timer	60
TOP.5fa86535.0007a13c	user_options->restore	0
TOP.5fa86535.0007a13c	user_options->restore_disable	0
TOP.5fa86535.0007a13c	user_options->restore_timer	60
TOP.5fa86535.0007a13c	user_options->rp_files_cnt	0
TOP.5fa86535.0007a13c	user_options->rp_gen	0
TOP.5fa86535.0007a13c	user_options->rp_gen_func_max	4
TOP.5fa86535.0007a13c	user_options->rp_gen_func_min	1
TOP.5fa86535.0007a13c	user_options->rp_gen_seed	0
TOP.5fa86535.0007a13c	user_options->runtime	0
TOP.5fa86535.0007a13c	user_options->scrypt_tmto	0
TOP.5fa86535.0007a13c	user_options->segment_size	33554432
TOP.5fa86535.0007a13c	user_options->self_test_disable	0
TOP.5fa86535.0007a13c	user_options->slow_candidates	0
TOP.5fa86535.0007a13c	user_options->show	0
TOP.5fa86535.0007a13c	user_options->speed_only	0
TOP.5fa86535.0007a13c	user_options->spin_damp	0
TOP.5fa86535.0007a13c	user_options->status	0
TOP.5fa86535.0007a13c	user_options->status_json	0
TOP.5fa86535.0007a13c	user_options->status_timer	10
TOP.5fa86535.0007a13c	user_options->stdout_flag	0
TOP.5fa86535.0007a13c	user_options->usage	0
TOP.5fa86535.0007a13c	user_options->username	0
TOP.5fa86535.0007a13c	user_options->veracrypt_pim_start	485
TOP.5fa86535.0007a13c	user_options->veracrypt_pim_stop	485
TOP.5fa86535.0007a13c	user_options->version	0
TOP.5fa86535.0007a13c	user_options->workload_profile	2
TOP.5fa86535.0007a13c	user_options->brain_client	0
TOP.5fa86535.0007a13c	user_options->brain_client_features	2
TOP.5fa86535.0007a13c	user_options->brain_server	0
TOP.5fa86535.0007a13c	user_options->brain_server_timer	300
TOP.5fa86535.0007a13c	user_options->brain_port	6863
TOP.5fa86535.0007a13c	user_options->brain_session	0
TOP.5fa86535.0007a13c	proc_start	1604871477
TOP.5fa86535.0007a13c	proc_stop	1604871477
TOP.5fa86535.0007a13c	STOP
TOP.5fa865d6.00099d53	START
TOP.5fa865d6.00099d53	folder_config->cwd	C:\Users\UDP\Desktop\hashcat
TOP.5fa865d6.00099d53	folder_config->install_dir	.
TOP.5fa865d6.00099d53	folder_config->profile_dir	.
TOP.5fa865d6.00099d53	folder_config->session_dir	.
TOP.5fa865d6.00099d53	folder_config->shared_dir	.
TOP.5fa865d6.00099d53	user_options->separator	:
TOP.5fa865d6.00099d53	user_options->encoding_from	utf-8
TOP.5fa865d6.00099d53	user_options->encoding_to	utf-8
TOP.5fa865d6.00099d53	user_options->outfile	Archivo_1
TOP.5fa865d6.00099d53	user_options->rule_buf_l	:
TOP.5fa865d6.00099d53	user_options->rule_buf_r	:
TOP.5fa865d6.00099d53	user_options->session	hashcat
TOP.5fa865d6.00099d53	user_options->limit	0
TOP.5fa865d6.00099d53	user_options->skip	0
TOP.5fa865d6.00099d53	user_options->attack_mode	0
TOP.5fa865d6.00099d53	user_options->benchmark	0
TOP.5fa865d6.00099d53	user_options->benchmark_all	0
TOP.5fa865d6.00099d53	user_options->bitmap_max	18
TOP.5fa865d6.00099d53	user_options->bitmap_min	16
TOP.5fa865d6.00099d53	user_options->debug_mode	0
TOP.5fa865d6.00099d53	user_options->example_hashes	0
TOP.5fa865d6.00099d53	user_options->force	1
TOP.5fa865d6.00099d53	user_options->hwmon_disable	0
TOP.5fa865d6.00099d53	user_options->hwmon_temp_abort	90
TOP.5fa865d6.00099d53	user_options->hash_mode	0
TOP.5fa865d6.00099d53	user_options->hex_charset	0
TOP.5fa865d6.00099d53	user_options->hex_salt	0
TOP.5fa865d6.00099d53	user_options->hex_wordlist	0
TOP.5fa865d6.00099d53	user_options->hook_threads	8
TOP.5fa865d6.00099d53	user_options->increment	0
TOP.5fa865d6.00099d53	user_options->increment_max	256
TOP.5fa865d6.00099d53	user_options->increment_min	1
TOP.5fa865d6.00099d53	user_options->keep_guessing	0
TOP.5fa865d6.00099d53	user_options->kernel_accel	0
TOP.5fa865d6.00099d53	user_options->kernel_loops	0
TOP.5fa865d6.00099d53	user_options->kernel_threads	0
TOP.5fa865d6.00099d53	user_options->keyspace	0
TOP.5fa865d6.00099d53	user_options->left	0
TOP.5fa865d6.00099d53	user_options->logfile_disable	0
TOP.5fa865d6.00099d53	user_options->loopback	0
TOP.5fa865d6.00099d53	user_options->machine_readable	0
TOP.5fa865d6.00099d53	user_options->markov_classic	0
TOP.5fa865d6.00099d53	user_options->markov_disable	0
TOP.5fa865d6.00099d53	user_options->markov_threshold	256
TOP.5fa865d6.00099d53	user_options->backend_info	0
TOP.5fa865d6.00099d53	user_options->backend_vector_width	0
TOP.5fa865d6.00099d53	user_options->optimized_kernel_enable	0
TOP.5fa865d6.00099d53	user_options->outfile_autohex	1
TOP.5fa865d6.00099d53	user_options->outfile_check_timer	5
TOP.5fa865d6.00099d53	user_options->outfile_format	3
TOP.5fa865d6.00099d53	user_options->wordlist_autohex_disable	0
TOP.5fa865d6.00099d53	user_options->potfile_disable	0
TOP.5fa865d6.00099d53	user_options->progress_only	0
TOP.5fa865d6.00099d53	user_options->quiet	0
TOP.5fa865d6.00099d53	user_options->remove	0
TOP.5fa865d6.00099d53	user_options->remove_timer	60
TOP.5fa865d6.00099d53	user_options->restore	0
TOP.5fa865d6.00099d53	user_options->restore_disable	0
TOP.5fa865d6.00099d53	user_options->restore_timer	60
TOP.5fa865d6.00099d53	user_options->rp_files_cnt	0
TOP.5fa865d6.00099d53	user_options->rp_gen	0
TOP.5fa865d6.00099d53	user_options->rp_gen_func_max	4
TOP.5fa865d6.00099d53	user_options->rp_gen_func_min	1
TOP.5fa865d6.00099d53	user_options->rp_gen_seed	0
TOP.5fa865d6.00099d53	user_options->runtime	0
TOP.5fa865d6.00099d53	user_options->scrypt_tmto	0
TOP.5fa865d6.00099d53	user_options->segment_size	33554432
TOP.5fa865d6.00099d53	user_options->self_test_disable	0
TOP.5fa865d6.00099d53	user_options->slow_candidates	0
TOP.5fa865d6.00099d53	user_options->show	0
TOP.5fa865d6.00099d53	user_options->speed_only	0
TOP.5fa865d6.00099d53	user_options->spin_damp	0
TOP.5fa865d6.00099d53	user_options->status	0
TOP.5fa865d6.00099d53	user_options->status_json	0
TOP.5fa865d6.00099d53	user_options->status_timer	10
TOP.5fa865d6.00099d53	user_options->stdout_flag	0
TOP.5fa865d6.00099d53	user_options->usage	0
TOP.5fa865d6.00099d53	user_options->username	0
TOP.5fa865d6.00099d53	user_options->veracrypt_pim_start	485
TOP.5fa865d6.00099d53	user_options->veracrypt_pim_stop	485
TOP.5fa865d6.00099d53	user_options->version	0
TOP.5fa865d6.00099d53	user_options->workload_profile	2
TOP.5fa865d6.00099d53	user_options->brain_client	0
TOP.5fa865d6.00099d53	user_options->brain_client_features	2
TOP.5fa865d6.00099d53	user_options->brain_server	0
TOP.5fa865d6.00099d53	user_options->brain_server_timer	300
TOP.5fa865d6.00099d53	user_options->brain_port	6863
TOP.5fa865d6.00099d53	user_options->brain_session	0
TOP.5fa865d6.00099d53	proc_start	1604871638
TOP.5fa865d6.00099d53	proc_stop	1604871638
TOP.5fa865d6.00099d53	STOP
TOP.5fa86755.0005a328	START
TOP.5fa86755.0005a328	folder_config->cwd	C:\Users\UDP\Desktop\hashcat
TOP.5fa86755.0005a328	folder_config->install_dir	.
TOP.5fa86755.0005a328	folder_config->profile_dir	.
TOP.5fa86755.0005a328	folder_config->session_dir	.
TOP.5fa86755.0005a328	folder_config->shared_dir	.
TOP.5fa86755.0005a328	user_options->separator	:
TOP.5fa86755.0005a328	user_options->encoding_from	utf-8
TOP.5fa86755.0005a328	user_options->encoding_to	utf-8
TOP.5fa86755.0005a328	user_options->outfile	C:\Users\UDP\Desktop/textoPlano/Archivo_1
TOP.5fa86755.0005a328	user_options->rule_buf_l	:
TOP.5fa86755.0005a328	user_options->rule_buf_r	:
TOP.5fa86755.0005a328	user_options->session	hashcat
TOP.5fa86755.0005a328	user_options->limit	0
TOP.5fa86755.0005a328	user_options->skip	0
TOP.5fa86755.0005a328	user_options->attack_mode	0
TOP.5fa86755.0005a328	user_options->benchmark	0
TOP.5fa86755.0005a328	user_options->benchmark_all	0
TOP.5fa86755.0005a328	user_options->bitmap_max	18
TOP.5fa86755.0005a328	user_options->bitmap_min	16
TOP.5fa86755.0005a328	user_options->debug_mode	0
TOP.5fa86755.0005a328	user_options->example_hashes	0
TOP.5fa86755.0005a328	user_options->force	1
TOP.5fa86755.0005a328	user_options->hwmon_disable	0
TOP.5fa86755.0005a328	user_options->hwmon_temp_abort	90
TOP.5fa86755.0005a328	user_options->hash_mode	0
TOP.5fa86755.0005a328	user_options->hex_charset	0
TOP.5fa86755.0005a328	user_options->hex_salt	0
TOP.5fa86755.0005a328	user_options->hex_wordlist	0
TOP.5fa86755.0005a328	user_options->hook_threads	8
TOP.5fa86755.0005a328	user_options->increment	0
TOP.5fa86755.0005a328	user_options->increment_max	256
TOP.5fa86755.0005a328	user_options->increment_min	1
TOP.5fa86755.0005a328	user_options->keep_guessing	0
TOP.5fa86755.0005a328	user_options->kernel_accel	0
TOP.5fa86755.0005a328	user_options->kernel_loops	0
TOP.5fa86755.0005a328	user_options->kernel_threads	0
TOP.5fa86755.0005a328	user_options->keyspace	0
TOP.5fa86755.0005a328	user_options->left	0
TOP.5fa86755.0005a328	user_options->logfile_disable	0
TOP.5fa86755.0005a328	user_options->loopback	0
TOP.5fa86755.0005a328	user_options->machine_readable	0
TOP.5fa86755.0005a328	user_options->markov_classic	0
TOP.5fa86755.0005a328	user_options->markov_disable	0
TOP.5fa86755.0005a328	user_options->markov_threshold	256
TOP.5fa86755.0005a328	user_options->backend_info	0
TOP.5fa86755.0005a328	user_options->backend_vector_width	0
TOP.5fa86755.0005a328	user_options->optimized_kernel_enable	0
TOP.5fa86755.0005a328	user_options->outfile_autohex	1
TOP.5fa86755.0005a328	user_options->outfile_check_timer	5
TOP.5fa86755.0005a328	user_options->outfile_format	3
TOP.5fa86755.0005a328	user_options->wordlist_autohex_disable	0
TOP.5fa86755.0005a328	user_options->potfile_disable	0
TOP.5fa86755.0005a328	user_options->progress_only	0
TOP.5fa86755.0005a328	user_options->quiet	0
TOP.5fa86755.0005a328	user_options->remove	0
TOP.5fa86755.0005a328	user_options->remove_timer	60
TOP.5fa86755.0005a328	user_options->restore	0
TOP.5fa86755.0005a328	user_options->restore_disable	0
TOP.5fa86755.0005a328	user_options->restore_timer	60
TOP.5fa86755.0005a328	user_options->rp_files_cnt	0
TOP.5fa86755.0005a328	user_options->rp_gen	0
TOP.5fa86755.0005a328	user_options->rp_gen_func_max	4
TOP.5fa86755.0005a328	user_options->rp_gen_func_min	1
TOP.5fa86755.0005a328	user_options->rp_gen_seed	0
TOP.5fa86755.0005a328	user_options->runtime	0
TOP.5fa86755.0005a328	user_options->scrypt_tmto	0
TOP.5fa86755.0005a328	user_options->segment_size	33554432
TOP.5fa86755.0005a328	user_options->self_test_disable	0
TOP.5fa86755.0005a328	user_options->slow_candidates	0
TOP.5fa86755.0005a328	user_options->show	0
TOP.5fa86755.0005a328	user_options->speed_only	0
TOP.5fa86755.0005a328	user_options->spin_damp	0
TOP.5fa86755.0005a328	user_options->status	0
TOP.5fa86755.0005a328	user_options->status_json	0
TOP.5fa86755.0005a328	user_options->status_timer	10
TOP.5fa86755.0005a328	user_options->stdout_flag	0
TOP.5fa86755.0005a328	user_options->usage	0
TOP.5fa86755.0005a328	user_options->username	0
TOP.5fa86755.0005a328	user_options->veracrypt_pim_start	485
TOP.5fa86755.0005a328	user_options->veracrypt_pim_stop	485
TOP.5fa86755.0005a328	user_options->version	0
TOP.5fa86755.0005a328	user_options->workload_profile	2
TOP.5fa86755.0005a328	user_options->brain_client	0
TOP.5fa86755.0005a328	user_options->brain_client_features	2
TOP.5fa86755.0005a328	user_options->brain_server	0
TOP.5fa86755.0005a328	user_options->brain_server_timer	300
TOP.5fa86755.0005a328	user_options->brain_port	6863
TOP.5fa86755.0005a328	user_options->brain_session	0
TOP.5fa86755.0005a328	proc_start	1604872021
TOP.5fa86755.0005a328	proc_stop	1604872021
TOP.5fa86755.0005a328	STOP
TOP.5fa8676e.0006fcd6	START
TOP.5fa8676e.0006fcd6	folder_config->cwd	C:\Users\UDP\Desktop\hashcat
TOP.5fa8676e.0006fcd6	folder_config->install_dir	.
TOP.5fa8676e.0006fcd6	folder_config->profile_dir	.
TOP.5fa8676e.0006fcd6	folder_config->session_dir	.
TOP.5fa8676e.0006fcd6	folder_config->shared_dir	.
TOP.5fa8676e.0006fcd6	user_options->separator	:
TOP.5fa8676e.0006fcd6	user_options->encoding_from	utf-8
TOP.5fa8676e.0006fcd6	user_options->encoding_to	utf-8
TOP.5fa8676e.0006fcd6	user_options->outfile	C:\Users\UDP\Desktop/textoPlano/Archivo_1
TOP.5fa8676e.0006fcd6	user_options->rule_buf_l	:
TOP.5fa8676e.0006fcd6	user_options->rule_buf_r	:
TOP.5fa8676e.0006fcd6	user_options->session	hashcat
TOP.5fa8676e.0006fcd6	user_options->limit	0
TOP.5fa8676e.0006fcd6	user_options->skip	0
TOP.5fa8676e.0006fcd6	user_options->attack_mode	0
TOP.5fa8676e.0006fcd6	user_options->benchmark	0
TOP.5fa8676e.0006fcd6	user_options->benchmark_all	0
TOP.5fa8676e.0006fcd6	user_options->bitmap_max	18
TOP.5fa8676e.0006fcd6	user_options->bitmap_min	16
TOP.5fa8676e.0006fcd6	user_options->debug_mode	0
TOP.5fa8676e.0006fcd6	user_options->example_hashes	0
TOP.5fa8676e.0006fcd6	user_options->force	1
TOP.5fa8676e.0006fcd6	user_options->hwmon_disable	0
TOP.5fa8676e.0006fcd6	user_options->hwmon_temp_abort	90
TOP.5fa8676e.0006fcd6	user_options->hash_mode	0
TOP.5fa8676e.0006fcd6	user_options->hex_charset	0
TOP.5fa8676e.0006fcd6	user_options->hex_salt	0
TOP.5fa8676e.0006fcd6	user_options->hex_wordlist	0
TOP.5fa8676e.0006fcd6	user_options->hook_threads	8
TOP.5fa8676e.0006fcd6	user_options->increment	0
TOP.5fa8676e.0006fcd6	user_options->increment_max	256
TOP.5fa8676e.0006fcd6	user_options->increment_min	1
TOP.5fa8676e.0006fcd6	user_options->keep_guessing	0
TOP.5fa8676e.0006fcd6	user_options->kernel_accel	0
TOP.5fa8676e.0006fcd6	user_options->kernel_loops	0
TOP.5fa8676e.0006fcd6	user_options->kernel_threads	0
TOP.5fa8676e.0006fcd6	user_options->keyspace	0
TOP.5fa8676e.0006fcd6	user_options->left	0
TOP.5fa8676e.0006fcd6	user_options->logfile_disable	0
TOP.5fa8676e.0006fcd6	user_options->loopback	0
TOP.5fa8676e.0006fcd6	user_options->machine_readable	0
TOP.5fa8676e.0006fcd6	user_options->markov_classic	0
TOP.5fa8676e.0006fcd6	user_options->markov_disable	0
TOP.5fa8676e.0006fcd6	user_options->markov_threshold	256
TOP.5fa8676e.0006fcd6	user_options->backend_info	0
TOP.5fa8676e.0006fcd6	user_options->backend_vector_width	0
TOP.5fa8676e.0006fcd6	user_options->optimized_kernel_enable	0
TOP.5fa8676e.0006fcd6	user_options->outfile_autohex	1
TOP.5fa8676e.0006fcd6	user_options->outfile_check_timer	5
TOP.5fa8676e.0006fcd6	user_options->outfile_format	3
TOP.5fa8676e.0006fcd6	user_options->wordlist_autohex_disable	0
TOP.5fa8676e.0006fcd6	user_options->potfile_disable	0
TOP.5fa8676e.0006fcd6	user_options->progress_only	0
TOP.5fa8676e.0006fcd6	user_options->quiet	0
TOP.5fa8676e.0006fcd6	user_options->remove	0
TOP.5fa8676e.0006fcd6	user_options->remove_timer	60
TOP.5fa8676e.0006fcd6	user_options->restore	0
TOP.5fa8676e.0006fcd6	user_options->restore_disable	0
TOP.5fa8676e.0006fcd6	user_options->restore_timer	60
TOP.5fa8676e.0006fcd6	user_options->rp_files_cnt	0
TOP.5fa8676e.0006fcd6	user_options->rp_gen	0
TOP.5fa8676e.0006fcd6	user_options->rp_gen_func_max	4
TOP.5fa8676e.0006fcd6	user_options->rp_gen_func_min	1
TOP.5fa8676e.0006fcd6	user_options->rp_gen_seed	0
TOP.5fa8676e.0006fcd6	user_options->runtime	0
TOP.5fa8676e.0006fcd6	user_options->scrypt_tmto	0
TOP.5fa8676e.0006fcd6	user_options->segment_size	33554432
TOP.5fa8676e.0006fcd6	user_options->self_test_disable	0
TOP.5fa8676e.0006fcd6	user_options->slow_candidates	0
TOP.5fa8676e.0006fcd6	user_options->show	0
TOP.5fa8676e.0006fcd6	user_options->speed_only	0
TOP.5fa8676e.0006fcd6	user_options->spin_damp	0
TOP.5fa8676e.0006fcd6	user_options->status	0
TOP.5fa8676e.0006fcd6	user_options->status_json	0
TOP.5fa8676e.0006fcd6	user_options->status_timer	10
TOP.5fa8676e.0006fcd6	user_options->stdout_flag	0
TOP.5fa8676e.0006fcd6	user_options->usage	0
TOP.5fa8676e.0006fcd6	user_options->username	0
TOP.5fa8676e.0006fcd6	user_options->veracrypt_pim_start	485
TOP.5fa8676e.0006fcd6	user_options->veracrypt_pim_stop	485
TOP.5fa8676e.0006fcd6	user_options->version	0
TOP.5fa8676e.0006fcd6	user_options->workload_profile	2
TOP.5fa8676e.0006fcd6	user_options->brain_client	0
TOP.5fa8676e.0006fcd6	user_options->brain_client_features	2
TOP.5fa8676e.0006fcd6	user_options->brain_server	0
TOP.5fa8676e.0006fcd6	user_options->brain_server_timer	300
TOP.5fa8676e.0006fcd6	user_options->brain_port	6863
TOP.5fa8676e.0006fcd6	user_options->brain_session	0
TOP.5fa8676e.0006fcd6	hashes->hashfile	C:\Users\UDP\Desktop/archivos/archivo_1
TOP.5fa8676e.0006fcd6	hashes->hashlist_mode	5
TOP.5fa8676e.0006fcd6	hashes->hashlist_format	0
TOP.5fa8676e.0006fcd6	hashes->hashes_cnt	0
TOP.5fa8676e.0006fcd6	hashes->digests_cnt	1000
TOP.5fa8676e.0006fcd6	hashes->digests_done	0
TOP.5fa8676e.0006fcd6	hashes->salts_cnt	1
TOP.5fa8676e.0006fcd6	hashes->salts_done	0
TOP.5fa8676e.0006fcd6	SUB.5fa8676e.000abc25	START
TOP.5fa8676e.0006fcd6	SUB.5fa8676e.000abc25	straight_ctx->dict	C:\Users\UDP\Desktop/diccionarios/diccionario_2.dict
TOP.5fa8676e.0006fcd6	SUB.5fa8676e.000abc25	runtime_start	1604872046
TOP.5fa8676e.0006fcd6	SUB.5fa8676e.000abc25	runtime_stop	1604872050
TOP.5fa8676e.0006fcd6	SUB.5fa8676e.000abc25	status-after-work	6
TOP.5fa8676e.0006fcd6	SUB.5fa8676e.000abc25	STOP
TOP.5fa8676e.0006fcd6	proc_start	1604872046
TOP.5fa8676e.0006fcd6	proc_stop	1604872050
TOP.5fa8676e.0006fcd6	STOP
TOP.5fa8684e.000de62c	START
TOP.5fa8684e.000de62c	folder_config->cwd	C:\Users\UDP\Desktop\hashcat
TOP.5fa8684e.000de62c	folder_config->install_dir	.
TOP.5fa8684e.000de62c	folder_config->profile_dir	.
TOP.5fa8684e.000de62c	folder_config->session_dir	.
TOP.5fa8684e.000de62c	folder_config->shared_dir	.
TOP.5fa8684e.000de62c	user_options->separator	:
TOP.5fa8684e.000de62c	user_options->encoding_from	utf-8
TOP.5fa8684e.000de62c	user_options->encoding_to	utf-8
TOP.5fa8684e.000de62c	user_options->outfile	C:\Users\UDP\Desktop/textoPlano/Archivo_1
TOP.5fa8684e.000de62c	user_options->rule_buf_l	:
TOP.5fa8684e.000de62c	user_options->rule_buf_r	:
TOP.5fa8684e.000de62c	user_options->session	hashcat
TOP.5fa8684e.000de62c	user_options->limit	0
TOP.5fa8684e.000de62c	user_options->skip	0
TOP.5fa8684e.000de62c	user_options->attack_mode	0
TOP.5fa8684e.000de62c	user_options->benchmark	0
TOP.5fa8684e.000de62c	user_options->benchmark_all	0
TOP.5fa8684e.000de62c	user_options->bitmap_max	18
TOP.5fa8684e.000de62c	user_options->bitmap_min	16
TOP.5fa8684e.000de62c	user_options->debug_mode	0
TOP.5fa8684e.000de62c	user_options->example_hashes	0
TOP.5fa8684e.000de62c	user_options->force	1
TOP.5fa8684e.000de62c	user_options->hwmon_disable	0
TOP.5fa8684e.000de62c	user_options->hwmon_temp_abort	90
TOP.5fa8684e.000de62c	user_options->hash_mode	0
TOP.5fa8684e.000de62c	user_options->hex_charset	0
TOP.5fa8684e.000de62c	user_options->hex_salt	0
TOP.5fa8684e.000de62c	user_options->hex_wordlist	0
TOP.5fa8684e.000de62c	user_options->hook_threads	8
TOP.5fa8684e.000de62c	user_options->increment	0
TOP.5fa8684e.000de62c	user_options->increment_max	256
TOP.5fa8684e.000de62c	user_options->increment_min	1
TOP.5fa8684e.000de62c	user_options->keep_guessing	0
TOP.5fa8684e.000de62c	user_options->kernel_accel	0
TOP.5fa8684e.000de62c	user_options->kernel_loops	0
TOP.5fa8684e.000de62c	user_options->kernel_threads	0
TOP.5fa8684e.000de62c	user_options->keyspace	0
TOP.5fa8684e.000de62c	user_options->left	0
TOP.5fa8684e.000de62c	user_options->logfile_disable	0
TOP.5fa8684e.000de62c	user_options->loopback	0
TOP.5fa8684e.000de62c	user_options->machine_readable	0
TOP.5fa8684e.000de62c	user_options->markov_classic	0
TOP.5fa8684e.000de62c	user_options->markov_disable	0
TOP.5fa8684e.000de62c	user_options->markov_threshold	256
TOP.5fa8684e.000de62c	user_options->backend_info	0
TOP.5fa8684e.000de62c	user_options->backend_vector_width	0
TOP.5fa8684e.000de62c	user_options->optimized_kernel_enable	0
TOP.5fa8684e.000de62c	user_options->outfile_autohex	1
TOP.5fa8684e.000de62c	user_options->outfile_check_timer	5
TOP.5fa8684e.000de62c	user_options->outfile_format	3
TOP.5fa8684e.000de62c	user_options->wordlist_autohex_disable	0
TOP.5fa8684e.000de62c	user_options->potfile_disable	0
TOP.5fa8684e.000de62c	user_options->progress_only	0
TOP.5fa8684e.000de62c	user_options->quiet	0
TOP.5fa8684e.000de62c	user_options->remove	0
TOP.5fa8684e.000de62c	user_options->remove_timer	60
TOP.5fa8684e.000de62c	user_options->restore	0
TOP.5fa8684e.000de62c	user_options->restore_disable	0
TOP.5fa8684e.000de62c	user_options->restore_timer	60
TOP.5fa8684e.000de62c	user_options->rp_files_cnt	0
TOP.5fa8684e.000de62c	user_options->rp_gen	0
TOP.5fa8684e.000de62c	user_options->rp_gen_func_max	4
TOP.5fa8684e.000de62c	user_options->rp_gen_func_min	1
TOP.5fa8684e.000de62c	user_options->rp_gen_seed	0
TOP.5fa8684e.000de62c	user_options->runtime	0
TOP.5fa8684e.000de62c	user_options->scrypt_tmto	0
TOP.5fa8684e.000de62c	user_options->segment_size	33554432
TOP.5fa8684e.000de62c	user_options->self_test_disable	0
TOP.5fa8684e.000de62c	user_options->slow_candidates	0
TOP.5fa8684e.000de62c	user_options->show	0
TOP.5fa8684e.000de62c	user_options->speed_only	0
TOP.5fa8684e.000de62c	user_options->spin_damp	0
TOP.5fa8684e.000de62c	user_options->status	0
TOP.5fa8684e.000de62c	user_options->status_json	0
TOP.5fa8684e.000de62c	user_options->status_timer	10
TOP.5fa8684e.000de62c	user_options->stdout_flag	0
TOP.5fa8684e.000de62c	user_options->usage	0
TOP.5fa8684e.000de62c	user_options->username	0
TOP.5fa8684e.000de62c	user_options->veracrypt_pim_start	485
TOP.5fa8684e.000de62c	user_options->veracrypt_pim_stop	485
TOP.5fa8684e.000de62c	user_options->version	0
TOP.5fa8684e.000de62c	user_options->workload_profile	2
TOP.5fa8684e.000de62c	user_options->brain_client	0
TOP.5fa8684e.000de62c	user_options->brain_client_features	2
TOP.5fa8684e.000de62c	user_options->brain_server	0
TOP.5fa8684e.000de62c	user_options->brain_server_timer	300
TOP.5fa8684e.000de62c	user_options->brain_port	6863
TOP.5fa8684e.000de62c	user_options->brain_session	0
TOP.5fa8684e.000de62c	proc_start	1604872270
TOP.5fa8684e.000de62c	proc_stop	1604872271
TOP.5fa8684e.000de62c	STOP
TOP.5fa86967.00023b11	START
TOP.5fa86967.00023b11	folder_config->cwd	C:\Users\UDP\Desktop\hashcat
TOP.5fa86967.00023b11	folder_config->install_dir	.
TOP.5fa86967.00023b11	folder_config->profile_dir	.
TOP.5fa86967.00023b11	folder_config->session_dir	.
TOP.5fa86967.00023b11	folder_config->shared_dir	.
TOP.5fa86967.00023b11	user_options->separator	:
TOP.5fa86967.00023b11	user_options->encoding_from	utf-8
TOP.5fa86967.00023b11	user_options->encoding_to	utf-8
TOP.5fa86967.00023b11	user_options->outfile	C:\Users\UDP\Desktop/textoPlano/Archivo_1
TOP.5fa86967.00023b11	user_options->rule_buf_l	:
TOP.5fa86967.00023b11	user_options->rule_buf_r	:
TOP.5fa86967.00023b11	user_options->session	hashcat
TOP.5fa86967.00023b11	user_options->limit	0
TOP.5fa86967.00023b11	user_options->skip	0
TOP.5fa86967.00023b11	user_options->attack_mode	0
TOP.5fa86967.00023b11	user_options->benchmark	0
TOP.5fa86967.00023b11	user_options->benchmark_all	0
TOP.5fa86967.00023b11	user_options->bitmap_max	18
TOP.5fa86967.00023b11	user_options->bitmap_min	16
TOP.5fa86967.00023b11	user_options->debug_mode	0
TOP.5fa86967.00023b11	user_options->example_hashes	0
TOP.5fa86967.00023b11	user_options->force	1
